663==663,[in position #374->116]
664==664,[in position #159->1]
665==665,[in position #761->4]
666==666,[in position #180->44]
667==667,[in position #3775->7799]
668==668,[in position #634->1]
669==669,[in position #1103->40]
670==670,[in position #1->482]
671==671,[in position #3091->48]
672==672,[in position #2823->84]
673==673,[in position #1064->2011]
674==674,[in position #1573->1]
675==675,[in position #99->1]
676==676,[in position #3619->108]
677==677,[in position #2825->1]
678==678,[in position #1033->4294951741]
679==679,[in position #3067->1]
680==680,[in position #1110->76]
681==681,[in position #1446->486]
682==682,[in position #1897->6]
683==683,[in position #1115->67]
684==684,[in position #3427->1882]
685==685,[in position #763->63]
686==686,[in position #1258->2684]
687==687,[in position #1111->167]
688==688,[in position #782->1]
689==689,[in position #1291->40]
690==690,[in position #1136->3]
691==691,[in position #2752->43]
692==692,[in position #2895->81]
693==693,[in position #3857->2492]
694==694,[in position #2332->242]
695==695,[in position #1238->9]
696==696,[in position #3722->6005]
697==697,[in position #249->9]
698==698,[in position #3183->2]
699==699,[in position #1403->11]
700==700,[in position #1678->1]
701==701,[in position #3399->14]
702==702,[in position #1735->233]
703==703,[in position #108->4]
704==704,[in position #3007->1368]
705==705,[in position #2522->984]
706==706,[in position #687->1]
707==707,[in position #1078->2]
708==708,[in position #2023->36]
709==709,[in position #1386->5]
710==710,[in position #469->1]
711==711,[in position #3417->174]
712==712,[in position #304->50]
713==713,[in position #2766->361]
714==714,[in position #1971->3332]
715==715,[in position #309->269]
716==716,[in position #501->1]
717==717,[in position #2672->259]
718==718,[in position #2857->11]
719==719,[in position #1425->1095]
720==720,[in position #2200->17]
721==721,[in position #1117->6]
722==722,[in position #788->12]
723==723,[in position #1983->1]
724==724,[in position #3608->8]
725==725,[in position #1087->177]
726==726,[in position #1049->4]
727==727,[in position #1334->32]
728==728,[in position #898->208]
729==729,[in position #1874->4004]
730==730,[in position #3689->5]
731==731,[in position #3943->6224]
732==732,[in position #1656->280]
733==733,[in position #3657->605]
734==734,[in position #1995->447]
735==735,[in position #310->788]
736==736,[in position #1568->253]
737==737,[in position #2154->76]
738==738,[in position #1946->118]
739==739,[in position #922->2]
740==740,[in position #2629->12]
741==741,[in position #1257->36]
742==742,[in position #185->11]
743==743,[in position #2196->2]
744==744,[in position #208->3]
745==745,[in position #2455->1]
746==746,[in position #3->2]
747==747,[in position #3953->50]
748==748,[in position #3410->1034]
749==749,[in position #3481->74]
750==750,[in position #2452->1729]
751==751,[in position #2183->87]
752==752,[in position #1047->41]
753==753,[in position #3134->5357]
754==754,[in position #3826->1]
755==755,[in position #1976->1]
756==756,[in position #1237->358]
757==757,[in position #2073->3]
758==758,[in position #1098->6]
759==759,[in position #959->190]
760==760,[in position #367->11]
761==761,[in position #1915->1200]
762==762,[in position #1081->1627]
763==763,[in position #2011->161]
764==764,[in position #1804->298]
765==765,[in position #2527->69]
766==766,[in position #2903->67]
767==767,[in position #1702->2]
768==768,[in position #378->66]
769==769,[in position #606->54]
770==770,[in position #590->26]
771==771,[in position #3665->22]
772==772,[in position #1261->5]
773==773,[in position #3440->6]
774==774,[in position #2429->24]
775==775,[in position #3864->845]
776==776,[in position #344->37]
777==777,[in position #205->34]
778==778,[in position #836->2]
779==779,[in position #1534->25]
780==780,[in position #332->23]
781==781,[in position #3733->3391]
782==782,[in position #3451->198]
783==783,[in position #1423->87]
784==784,[in position #9->67]
785==785,[in position #1786->3054]
786==786,[in position #2953->2]
787==787,[in position #1276->36]
788==788,[in position #2234->49]
789==789,[in position #2210->5]
790==790,[in position #2682->138]
791==791,[in position #2195->37]
792==792,[in position #2268->41]
793==793,[in position #3538->214]
794==794,[in position #3342->62]
795==795,[in position #1241->10]
796==796,[in position #2830->66]
797==797,[in position #2378->817]
798==798,[in position #3306->286]
799==799,[in position #3109->1]
800==800,[in position #2576->793]
801==801,[in position #1899->21]
802==802,[in position #3062->2]
803==803,[in position #342->10]
804==804,[in position #122->6]
805==805,[in position #3651->15]
806==806,[in position #3251->27]
807==807,[in position #1437->125]
808==808,[in position #1407->392]
809==809,[in position #2537->244]
810==810,[in position #3377->11]
811==811,[in position #837->8]
812==812,[in position #663->1]
813==813,[in position #3225->11]
814==814,[in position #553->827]
815==815,[in position #2552->1624]
816==816,[in position #1542->10]
817==817,[in position #2151->346]
818==818,[in position #3029->21]
819==819,[in position #2248->28]
820==820,[in position #864->184]
821==821,[in position #3352->278]
822==822,[in position #3016->11]
823==823,[in position #2709->1]
824==824,[in position #2329->3]
825==825,[in position #2782->174]
826==826,[in position #520->2]
827==827,[in position #72->1575]
828==828,[in position #1108->113]
829==829,[in position #1303->38]
830==830,[in position #2629->12]
831==831,[in position #1701->1]
832==832,[in position #1970->527]
833==833,[in position #2835->967]
834==834,[in position #1318->4]
835==835,[in position #3603->27]
836==836,[in position #1537->1]
837==837,[in position #1894->2]
838==838,[in position #3423->8]
839==839,[in position #2165->61]
840==840,[in position #2166->189]
841==841,[in position #1634->165]
842==842,[in position #3720->2]
843==843,[in position #626->23]
844==844,[in position #514->3]
845==845,[in position #1728->629]
846==846,[in position #2256->139]
847==847,[in position #1817->3]
848==848,[in position #1814->1]
849==849,[in position #3577->5081]
850==850,[in position #3918->21]
851==851,[in position #345->78]
852==852,[in position #1346->5]
853==853,[in position #2227->37]
854==854,[in position #2576->793]
855==855,[in position #3520->128]
856==856,[in position #2099->2]
857==857,[in position #83->8]
858==858,[in position #633->1]
859==859,[in position #3964->7]
860==860,[in position #920->22]
861==861,[in position #3023->435]
862==862,[in position #432->506]
863==863,[in position #3158->6]
864==864,[in position #388->410]
865==865,[in position #2052->2]
866==866,[in position #2267->22]
867==867,[in position #3307->280]
868==868,[in position #2059->33]
869==869,[in position #479->843]
870==870,[in position #1788->2]
871==871,[in position #3278->1121]
872==872,[in position #1802->216]
873==873,[in position #678->14]
874==874,[in position #3781->106]
875==875,[in position #2519->1246]
876==876,[in position #3291->2846]
877==877,[in position #401->3]
878==878,[in position #1004->230]
879==879,[in position #2521->797]
880==880,[in position #1227->517]
881==881,[in position #2155->609]
882==882,[in position #3974->4]
883==883,[in position #3926->9]
884==884,[in position #3001->16]
885==885,[in position #3500->54]
886==886,[in position #3872->4256]
887==887,[in position #603->836]
888==888,[in position #950->10]
889==889,[in position #2506->2]
890==890,[in position #3243->1]
891==891,[in position #631->4]
892==892,[in position #1090->14]
893==893,[in position #1442->298]
894==894,[in position #1433->292]
895==895,[in position #1272->3]
896==896,[in position #949->2]
